team_id,display_name,race_count,percentage
-272942,,1.0,99.0
-306961,,1.0,0.0
-158916,,1.0,0.0
-305563,,1.0,0.0
-201262,SimTech Motorsport LMDh,2.0,82.5
-284108,Magic Arrow,2.0,99.5
-275533,RACAR eSports Team,2.0,48.5
-297671,TR Geekz Energy Simracing LMDh,1.0,90.0
-297570,Blue Chip Racing LMDh,2.0,48.5
-304104,Team Upstate GTP,2.0,37.5
-302846,EPOCH MOTORSPORT,2.0,65.5
-298629,Scopum Racing E-Sports Team Purple,2.0,0.0
-286482,Kairos eSports #229,2.0,65.5
-249688,LEO RACING TEAM LMP2,3.0,99.0
-302108,Team Shazoo,2.0,15.5
-218497,Blue Chip Racing,3.0,98.0
-302748,Platinum Racing Team White,2.0,75.0
-272629,Platinum Racing Team red,3.0,34.67
-247532,Krips Racing Green,3.0,82.67
-214868,Sissi State Punks Racing,3.0,0.0
-297670,TR Geekz Energy Simracing GT3,3.0,0.0
-243684,Altitude Esports,3.0,99.67
-305677,Delta Racing LMDh,3.0,23.33
-132790,Reiter Engineering Esports,3.0,96.33
-145316,Octopus Racing Team LMDH,3.0,85.0
-233878,DLR x Sim-Lab \\ Orange,3.0,78.33
-225873,centoquattro #104,1.0,100.0
-261365,MRP by Fields Academy,4.0,82.5
-254304,Platinum Racing Team Blue,4.0,89.75
-306596,XBD Emiral Racing,4.0,98.5
-201381,Peaky Drivers LMP2,4.0,87.0
-164695,BAZINGA Motorsport,4.0,74.75
-140500,505 Endurance,4.0,85.0
-303752,HW Racing,4.0,34.75
-109804,Carbono eSports Black,4.0,0.0
-53704,LITHIUM Motorsports,4.0,16.25
-279040,Platinum Racing Team Black,4.0,59.25
-159910,Austrian Simracers Red,3.0,97.67
-243021,Elite Racing Team,4.0,11.25
-299312,CM x MSi Gaming GT3,4.0,13.0
-129672,RACING TEAM #208,5.0,100.0
-127445,RACING TEAM #221,5.0,99.6
-223528,SimVision,5.0,99.2
-134184,GROW RACING TEAM RED,5.0,93.8
-110547,Carbono eSports,5.0,65.2
-159911,Austrian Simracers Blue,5.0,9.4
-299638,Ingersoll Rand Enosis eSports #215,5.0,84.0
-298040,Peaky Drivers GT3,4.0,43.25
-232258,SIMVISION #228,2.0,90.5
-299092,YS Sim-Sport PEC,5.0,58.8
-297933,Prestanda NOMAD #209,2.0,74.0
-129653,Octopus Racing Team,5.0,90.2
-257830,SR TECHNIC,5.0,46.8
-96989,Chicane Online Racing Red,5.0,89.2
-140651,Chicane Online Racing Orange,5.0,0.0
-280178,Trackside Esports,5.0,16.0
-257829,SR TECHNIC #PEC,5.0,6.6
-312337,Sissi State Punks Racing,2.0,0.0
-264062,Team Upstate,5.0,0.0
-175849,Maniti Racing Yellow,5.0,25.0
-252527,Krips Racing Blue,5.0,0.0
-258771,PROTOSIM #2,5.0,5.8
-257782,PROTOSIM #3,5.0,0.0
-278379,Platinum Racing Team Orange,5.0,70.6
-62993,Fury Simsport Academy,5.0,13.6
