Name,Background color,Text color,Logo URL,Class 1,Class 2,Class 3
Reiter Engineering Esports,Transparent,Transparent,,GTP,None,None
Negative Delta by Bulers,Transparent,Transparent,,GT3 Pro,None,None
LITHIUM Motorsports,Transparent,Transparent,,GTP,None,None
Enosis eSports,Transparent,Transparent,,GT3 Pro,None,None
Race2Esport,Transparent,Transparent,,GTP,None,None
Magic Arrow 55,Transparent,Transparent,,GTP,None,None
HOWLBSOD Motorsport,Transparent,Transparent,,GT3 Am,None,None
Magic Arrow 56,Transparent,Transparent,,GTP,None,None
Kuruma MotorSport,Transparent,Transparent,,GT3 Pro,None,None
No Limits SimRacing,Transparent,Transparent,,GT3 Pro,None,None
F Racing #LMDH,Transparent,Transparent,,GTP,None,None
F Racing #GT3,Transparent,Transparent,,GT3 Pro,None,None
F Racing #DIVOY,Transparent,Transparent,,GT3 Pro,None,None
RUCANOR RACING,Transparent,Transparent,,GT3 Pro,None,None
Really Slow Motion Racing,Transparent,Transparent,,GT3 Pro,None,None
CORE MOTORSPORTS,Transparent,Transparent,,GT3 Pro,None,None
Chicane Online Racing Blue,Transparent,Transparent,,GT3 Pro,None,None
Virtual Insanity Racing,Transparent,Transparent,,GT3 Am,None,None
AZR Motorsport,Transparent,Transparent,,GT3 Pro,None,None
AZR Motorsport White,Transparent,Transparent,,GT3 Am,None,None
NIX Esports,Transparent,Transparent,,GTP,None,None
M4sked Devils,Transparent,Transparent,,GT3 Pro,None,None
M4sked Devils BLUE,Transparent,Transparent,,GTP,None,None
M4sked Devils RED,Transparent,Transparent,,GTP,None,None
Carbono eSports Black,Transparent,Transparent,,GTP,None,None
Carbono eSports JD,Transparent,Transparent,,GT3 Pro,None,None
SR TECHNIC,Transparent,Transparent,,GT3 Pro,None,None
SR TECHNIC #PEC,Transparent,Transparent,,GT3 Am,None,None
PICK UP THE PACE ,Transparent,Transparent,,GT3 Am,None,None
Grow Racing Team Red,Transparent,Transparent,,GT3 Pro,None,None
Future Racing Team Pro,Transparent,Transparent,,GTP,None,None
Sim Racing Concept,Transparent,Transparent,,GT3 Pro,None,None
GO! eSports GTP,Transparent,Transparent,,GTP,None,None
XBD Emiral Racing,Transparent,Transparent,,GTP,None,None
IPM BLUE,Transparent,Transparent,,GT3 Pro,None,None
Zero7 Racing #201,Transparent,Transparent,,GT3 Pro,None,None
IPM GOLD,Transparent,Transparent,,GTP,None,None
GO! eSports,Transparent,Transparent,,GT3 Pro,None,None
Project Dynamic Green,Transparent,Transparent,,GTP,None,None
Prestanda NOMAD,Transparent,Transparent,,GTP,None,None
Future Racing Team ,Transparent,Transparent,,GT3 Am,None,None
Carbono eSports,Transparent,Transparent,,GT3 Am,None,None
Lexxaro Racing,Transparent,Transparent,,GT3 Pro,None,None
Euromaster Esports,Transparent,Transparent,,GT3 Pro,None,None
Koi Racing Red,Transparent,Transparent,,GT3 Pro,None,None
MerXo Racing Team,Transparent,Transparent,,GT3 Pro,None,None
Stop n' Go Racing,Transparent,Transparent,,GTP,None,None
Koi Racing Blue,Transparent,Transparent,,GT3 Am,None,None
OVRTK Team 4,Transparent,Transparent,,GT3 Pro,None,None
