session_id,time_limit,qualify_length,race_length
199688862.0,420,0,0
199779326.0,300,0,0
199874595.0,300,0,0
200033019.0,300,0,0
200116919.0,300,0,0
200163074.0,180,0,0
200169988.0,540,60,360
201579960.0,300,0,0
201667584.0,300,0,0
201766250.0,300,0,0
201844040.0,120,15,60
201929314.0,300,0,0
202016273.0,300,0,0
202064263.0,180,0,0
202071368.0,540,60,360
204029053.0,300,0,0
204116618.0,300,0,0
204204346.0,480,0,0
204293028.0,120,15,60
204378330.0,300,0,0
204465221.0,300,0,0
204513249.0,180,0,0
204520349.0,660,60,480
206473798.0,300,0,0
206560558.0,300,0,0
206645679.0,540,0,0
206737168.0,120,15,60
206822429.0,300,0,0
206909339.0,300,0,0
206956242.0,180,0,0
206963367.0,780,60,600
207696915.0,300,0,0
207784595.0,300,0,0
207817419.0,300,0,0
207838322.0,300,0,0
207849215.0,300,0,0
207856389.0,180,0,0
207856816.0,420,60,240
209636370.0,300,0,0
209724082.0,300,0,0
209825114.0,300,0,0
209827089.0,300,0,0
209991705.0,300,0,0
210080561.0,300,0,0
,180,0,0
,900,60,720
